,chile,cover,fraud_car_insur,fraud_creditcard,korean5,mammography,piechart2,pizzacutter1,satellite,winequality,AP,F1MAX,AP,F1MAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satellite,0.807311063,0.802304163,0.754491951,0.457621608,0.467110919,0.699095105,0.757340204,0.765681406,0.72417316,0.71768364,0.061411118,0.755425068,0.68253396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winequality,0.111979886,0.11629372,0.100203734,0.065535374,0.065209907,0.093898244,0.095066864,0.09215715,0.12100163,0.056324481,0.079673137,0.151513948,0.153192987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,roc_upu,ap_upu,f1_upu,f1_ci_upu,f1_max_upu,roc_nnpu,ap_nnpu,f1_nnpu,f1_ci_nnpu,f1_max_nnpu,roc_imbnnpu,ap_imbnnpu,f1_imbnnpu,f1_ci_imbnnpu,f1_max_imbnnpu,roc_dt_hd,ap_dt_hd,f1_dt_hd,f1_ci_dt_hd,f1_max_dt_hd,roc_dt_puhd,ap_dt_puhd,f1_dt_puhd,f1_ci_dt_puhd,f1_max_dt_puhd,roc_rf,ap_rf,f1_rf,f1_ci_rf,f1_max_rf,roc_rf_puhd,ap_rf_puhd,f1_rf_puhd,f1_ci_rf_puhd,f1_max_rf_puhd,roc_srf_puhd,ap_srf_puhd,f1_srf_puhd,f1_ci_srf_puhd,f1_max_srf_puhd,roc_pubag,ap_pubag,f1_pubag,f1_ci_pubag,f1_max_pubag,roc_elkno,ap_elkno,f1_elkno,f1_ci_elkno,f1_max_elkno,roc_spyem,ap_spyem,f1_spyem,f1_ci_spyem,f1_max_spyem,roc_rnkpr,ap_rnkpr,f1_rnkpr,f1_ci_rnkpr,f1_max_rnkpr,roc_welog,ap_welog,f1_welog,f1_ci_welog,f1_max_welog
chile,0.948126371,0.633405422,0.553847471,0.462811051,0.609673062,0.959649367,0.70914883,0.517355587,0.640674926,0.656852766,0.959152321,0.701678686,0.490816937,0.631728045,0.653177025,0.863823418,0.383659334,0.298462623,0.344084085,0.462519235,0.86496962,0.405953237,0.354959618,0.346500356,0.464354278,0.950916667,0.642331692,0.529845417,0.173179125,0.627395455,0.946272996,0.696421216,0.263464132,0.401713446,0.659793102,0.952133122,0.71500907,0.450201192,0.334852896,0.670495641,0.871700211,0.340469613,0.271838326,0.156239878,0.463369428,0.802824262,0.374948294,0.064211174,0.177617212,0.26147915,0.633503164,0.097850616,0.118550858,0.116345639,0.129635252,0.857856118,0.391562636,0.414216175,0.232951134,0.439315452,0.862329114,0.371952104,0.291673514,0.122854556,0.432923113
cover,0.987176325,0.915161252,0.897553912,0.733731479,0.916620909,0.996582191,0.964705478,0.853518896,0.898396313,0.938663075,0.996205272,0.966146607,0.839669282,0.874485269,0.943201518,0.929821029,0.804228123,0.84525695,0.878809565,0.882543842,0.929791142,0.800840629,0.881343901,0.881238159,0.888506186,0.998827458,0.972675009,0.903315491,0.364500837,0.936109099,0.998041122,0.976983124,0.800359724,0.476341013,0.946272397,0.998052438,0.978976101,0.878152654,0.455419961,0.948446055,0.9991536,0.869800261,0.674269834,0.147387274,0.908387436,0.99832635,0.951589515,0.849067192,0.251305467,0.926137444,0.985774556,0.403753141,0.36318743,0.165282818,0.484696157,0.998509152,0.96030768,0.910401217,0.776750583,0.927509773,0.998600843,0.960833543,0.845114228,0.398729226,0.918777979
fraud_car_insur,0.803264529,0.210261544,0.192139191,0.254066458,0.265903334,0.799104511,0.191302349,0.085978898,0.232333876,0.256999872,0.799066588,0.189916457,0.083212589,0.238606259,0.256527402,0.798037924,0.177479717,0.047674638,0.23308462,0.254314621,0.79862894,0.180090031,0.059356643,0.232930976,0.255793914,0.798076931,0.17587365,0.025529052,0.211058359,0.251262077,0.80842893,0.208306452,0.008214999,0.24356823,0.268472013,0.81185589,0.209968088,0.044507335,0.231235716,0.266469447,0.769421641,0.124203085,0.221745922,0.221431343,0.22546202,0.585148542,0.089868184,0,0.016274166,0.141406199,0.72793819,0.116543991,0.130791749,0.131349522,0.142782328,0.815613968,0.177279835,0.238247561,0.205099744,0.266668317,0.819486111,0.175244609,0.234441877,0.147970285,0.270492794
